,portfolio_value
2021-01-01,9990013.67098324
2021-01-04,10090496.551444933
2021-01-05,10156239.62038605
2021-01-06,10255376.584437296
2021-01-07,10470346.87346451
2021-01-08,10364700.930866167
2021-01-11,10128986.563771173
2021-01-12,10071338.146809503
2021-01-13,9940065.808977053
2021-01-14,10118902.37102215
2021-01-15,10112038.85912697
2021-01-18,9955914.846003458
2021-01-19,10095960.2967128
2021-01-20,10229060.692132875
2021-01-21,10120843.825140879
2021-01-22,9884248.148322985
2021-01-25,9900883.534231111
2021-01-27,9798105.77891247
2021-01-28,9780310.378839418
2021-01-29,9810642.283803865
2021-02-01,10175707.054941103
2021-02-02,10463453.743432924
2021-02-03,10702197.300010607
2021-02-04,10871835.137151644
2021-02-05,10899588.777654573
2021-02-08,11109147.4341449
2021-02-09,11371469.250070497
2021-02-10,11554495.435377046
2021-02-11,11763694.00685303
2021-02-12,11609654.065322801
2021-02-15,11434195.207845613
2021-02-16,11540707.84356682
2021-02-17,11736920.76125519
2021-02-18,12056450.856153414
2021-02-19,11981958.205045626
2021-02-22,11912377.092670366
2021-02-23,12337528.26090233
2021-02-24,12456166.655588076
2021-02-25,12587360.625947878
2021-02-26,12697703.755128786
2021-03-01,12903813.271831438
2021-03-02,13093790.815530702
2021-03-03,13397327.985704347
2021-03-04,13689845.821130678
2021-03-05,13424265.028207704
2021-03-08,13531054.982973024
2021-03-09,13597854.756242678
2021-03-10,14019073.915449068
2021-03-12,14231103.059335634
2021-03-15,14626477.333719179
2021-03-16,14535119.276025698
2021-03-17,13976745.889181063
2021-03-18,13796737.617307588
2021-03-19,13912927.109655306
2021-03-22,14210117.688703462
2021-03-23,14400673.715524599
2021-03-24,14061724.460714266
2021-03-25,13749396.676011965
2021-03-26,13816311.958227083
2021-03-30,14082022.619069979
2021-03-31,14208840.764566347
2021-04-01,14295168.198684823
2021-04-05,14380033.658741128
2021-04-06,14647519.142601144
2021-04-07,14966960.7528993
2021-04-08,15189194.10566343
2021-04-09,15195581.971374642
2021-04-12,14477814.646400582
2021-04-13,14585372.406887185
2021-04-15,14451707.751373421
2021-04-16,14639569.765073907
2021-04-19,14324751.590667855
2021-04-20,14382985.243890893
2021-04-22,14594487.83032621
2021-04-23,14909778.10295881
2021-04-26,14875216.717567574
2021-04-27,15081897.020469796
2021-04-28,15314636.194717538
2021-04-29,15314751.70117582
2021-04-30,15220913.590313088
2021-05-03,15641284.673542153
2021-05-04,15694998.481762063
2021-05-05,15978315.198970925
2021-05-06,16119194.541103493
2021-05-07,16298365.410713326
2021-05-10,16479667.297355782
2021-05-11,16587544.8953668
2021-05-12,16330513.285850655
2021-05-14,15986811.440574776
2021-05-17,16307463.595363747
2021-05-18,16559172.42351545
2021-05-19,16808239.118984353
2021-05-20,17059764.726062905
2021-05-21,17646338.070289742
2021-05-24,18268146.15430845
2021-05-25,18552559.030864846
2021-05-26,18413090.609874856
2021-05-27,18348815.585285317
2021-05-28,18418414.796657693
2021-05-31,18462708.034942757
2021-06-01,18312145.066574227
2021-06-02,18703503.38281263
2021-06-03,19044852.5136186
2021-06-04,19314715.84653486
2021-06-07,19837417.399994027
2021-06-08,20295863.46415342
2021-06-09,19831946.67580427
2021-06-10,20052191.72119535
2021-06-11,20301314.712848794
2021-06-14,21086563.513256203
2021-06-15,20874313.270729195
2021-06-16,20539466.669979226
2021-06-17,20265596.92838682
2021-06-18,19911014.62142576
