src,n,keep,stop,rebal,skip,lb,IS_PNL_Cr,IS_MDD,IS_Sharpe,OOS_%
grid,6,18,,Q,21,252,12.731037635891795,-38.37097732772848,2.315003283163906,14.368343418796137
grid,6,18,-0.15,Q,21,252,12.738856034761662,-28.248260883490662,2.6955266050057727,14.974808828501107
grid,6,18,-0.25,Q,21,252,14.186917525379696,-30.731440580194846,2.5600574747805735,14.368343418796137
grid,7,18,,Q,21,252,12.093356477544653,-36.40154288698499,2.3235981729125808,21.78204771543888
grid,7,18,-0.15,Q,21,252,11.813484398385258,-26.62690227996194,2.6657337352898236,22.3387539554027
grid,7,18,-0.25,Q,21,252,12.625922220916525,-30.60805009686536,2.5109726639323533,21.78204771543888
grid,8,18,,Q,21,252,9.569693540825572,-34.16492759280939,2.132567028184272,19.786751683993288
grid,8,18,-0.15,Q,21,252,9.63170792442198,-26.98149653228754,2.4928182074335234,19.837049473741697
grid,8,18,-0.25,Q,21,252,10.00825333294267,-31.295151291026023,2.319105439499716,19.786751683993288
grid,10,18,,Q,21,252,9.923794609442664,-32.0840257126506,2.296289461419057,20.368325230283002
grid,10,18,-0.15,Q,21,252,8.709836105100093,-25.798300146039587,2.5494201118220077,20.755444960712598
grid,10,18,-0.25,Q,21,252,9.816258680914144,-31.711066948445264,2.432075870505591,20.368325230283002
grid,6,20,,Q,21,252,13.218056449663049,-38.370977327728404,2.3670639759303893,14.368343418796137
grid,6,20,-0.15,Q,21,252,12.492615031514578,-27.419369252547988,2.68339083345619,14.974808828501107
grid,6,20,-0.25,Q,21,252,14.873019234961683,-29.62517596426083,2.630808304820453,14.368343418796137
grid,7,20,,Q,21,252,13.90074671030156,-35.23235679780441,2.503531035903031,21.78204771543888
grid,7,20,-0.15,Q,21,252,12.815635907443601,-26.693617851466346,2.822164511055148,22.3387539554027
grid,7,20,-0.25,Q,21,252,14.933510540537595,-30.650248569779382,2.744157126827706,21.78204771543888
grid,8,20,,Q,21,252,11.838569137292861,-34.16492759280935,2.3650526474305225,19.786751683993288
grid,8,20,-0.15,Q,21,252,11.303111417308939,-25.768847942496254,2.686085446216622,19.837049473741697
grid,8,20,-0.25,Q,21,252,12.238932481028927,-30.323224433070205,2.5431538224885593,19.786751683993288
grid,10,20,,Q,21,252,10.128360799731581,-32.18659465646026,2.333016894127473,20.368325230283002
grid,10,20,-0.15,Q,21,252,8.674420415689825,-25.87273637378177,2.5629953945067654,20.755444960712598
grid,10,20,-0.25,Q,21,252,9.954399283973745,-31.0553376073438,2.4672805665236077,20.368325230283002
grid,6,25,,Q,21,252,12.404232816746875,-33.80914473143848,2.346059961382326,14.368343418796137
grid,6,25,-0.15,Q,21,252,11.484341617217982,-28.261904726056585,2.626551077728786,14.974808828501107
grid,6,25,-0.25,Q,21,252,13.365726078775003,-30.134596288071734,2.550093332427204,14.368343418796137
grid,7,25,,Q,21,252,12.16570594465914,-32.71422962480758,2.3908352953577174,21.78204771543888
grid,7,25,-0.15,Q,21,252,10.95928852736383,-26.693617851466346,2.657536984464552,22.3387539554027
grid,7,25,-0.25,Q,21,252,12.45835164050734,-30.650248569779347,2.558054301348444,21.78204771543888
grid,8,25,,Q,21,252,13.71649514577898,-32.3615078828505,2.5830999314785608,19.786751683993288
grid,8,25,-0.15,Q,21,252,12.508342092931729,-25.76884794249623,2.8834323287522285,19.837049473741697
grid,8,25,-0.25,Q,21,252,13.957709226575961,-30.323224433070184,2.7513789626751834,19.786751683993288
grid,10,25,,Q,21,252,10.80120571235359,-31.493919470287846,2.373055618952242,20.368325230283002
grid,10,25,-0.15,Q,21,252,9.825840280261598,-24.769895038085053,2.6964490470148395,20.755444960712598
grid,10,25,-0.25,Q,21,252,11.080696338491837,-30.79445568484881,2.574851911123859,20.368325230283002
grid,6,30,,Q,21,252,12.713293961488157,-34.32880653568107,2.3550362503927276,14.368343418796137
grid,6,30,-0.15,Q,21,252,10.846676964375362,-34.42106277986648,2.547025711132751,14.974808828501107
grid,6,30,-0.25,Q,21,252,12.703964880199296,-36.463737110989754,2.4680330399543466,14.368343418796137
grid,7,30,,Q,21,252,11.49227009623097,-33.470699574453874,2.305080267560206,21.78204771543888
grid,7,30,-0.15,Q,21,252,10.36620513981298,-29.5578020418375,2.575032797835632,22.3387539554027
grid,7,30,-0.25,Q,21,252,11.849715187536555,-32.4038806631072,2.4792734172009063,21.78204771543888
grid,8,30,,Q,21,252,13.228977689156705,-32.3615078828505,2.525878162480595,19.786751683993288
grid,8,30,-0.15,Q,21,252,11.996961953203016,-26.015985534992204,2.8187647960787943,19.837049473741697
grid,8,30,-0.25,Q,21,252,13.564360247103211,-30.55499272989057,2.703195088687874,19.786751683993288
grid,10,30,,Q,21,252,10.121046857777639,-32.08402571265056,2.2944220288050783,20.368325230283002
grid,10,30,-0.15,Q,21,252,8.541972885652525,-25.72205953384583,2.497302422244675,20.755444960712598
grid,10,30,-0.25,Q,21,252,9.942625705385563,-31.62580722755457,2.416194496588602,20.368325230283002
grid,7,20,-0.3,M,21,252,9.900037087824359,-36.98303692966434,2.1345190231474795,3.1020040405296267
grid,7,20,-0.3,2M,21,252,11.232246019887318,-30.799879412931276,2.283582525474642,8.17435442176382
grid,7,20,-0.3,Q,10,252,8.908946345387312,-36.36550774019559,2.0429730274754183,11.126590488266253
grid,7,20,-0.3,Q,42,252,11.747856288918905,-40.43171981677839,2.282638724155748,4.899640942933914
grid,7,20,-0.3,Q,21,189,5.155374081737757,-35.25790895097647,1.6424265056749996,20.208015128257205
grid,7,20,-0.3,Q,21,252,13.45109570140231,-33.46816075147607,2.582964599512293,27.709687999357246
grid,7,20,-0.3,Q,21,252,15.636426405864304,-30.918017672820742,2.737340769737566,21.78204771543888
grid,7,20,,Q,21,252,13.90074671030156,-35.23235679780441,2.503531035903031,21.78204771543888
grid,7,20,-0.15,Q,21,252,12.815635907443601,-26.693617851466346,2.822164511055148,22.3387539554027
grid,7,20,-0.3,Q,21,252,15.693151780812016,-30.852867935465444,2.731505147826395,21.56724211488992
grid,7,20,-0.3,Q,21,252,15.586842783330718,-30.918017672820763,2.734313610646935,21.66683292529219
grid,7,20,-0.3,Q,21,252,15.48956398189894,-30.89219640622416,2.7113856102834957,22.06684273985562
grid,7,20,-0.3,Q,21,252,15.549286036158586,-30.824175281198062,2.728431119019629,21.659906166655052
grid,7,20,-0.3,Q,21,126,7.264329294348627,-27.675008565825664,1.8757988791356586,-0.7679911750177459
